,0,1,2,3
"[0, 0]",4.701499999999999,4.827171539540269,4.567794633127322,4.825719458259785
"[1, 0]",4.684850326245338,4.87248137181551,4.85,4.864137192769215
"[0, 1]",4.572905306524577,4.860558309046679,4.776199997706875,4.860308647373236
"[2, 0]",4.88829,4.90552319101395,4.85,4.8936672976860445
"[3, 0]",4.88829,4.935678061000001,4.85,4.921322536718566
"[4, 0]",4.888209,4.951680392444187,4.85,2.2629
"[4, 1]",5.0,5.0,5.0,5.0
"[1, 1]",4.782743308208737,4.824516802746517,4.783121006795274,4.821351165564516
"[0, 2]",4.705019,4.88427662768179,4.778650359238677,4.876914059263829
"[1, 2]",4.5354147976749,3.99,4.5279936441530495,3.0810000000000004
"[2, 1]",4.785402,4.817342080899471,4.691620440804405,3.0810000000000004
"[3, 1]",4.581851705954025,2.2629,4.786621779,4.860729933502038
"[3, 2]",2.891,4.961863020539712,4.6797111857352425,4.927209907067886
"[2, 2]",5.0,5.0,5.0,5.0
"[0, 3]",4.582696889683844,3.0810000000000004,4.8891,4.893704615654004
"[0, 4]",4.85,4.934471544859,4.782464889683845,4.9278696973852005
"[0, 5]",4.85,4.93967514435853,4.6951159979999995,4.85
"[1, 5]",4.89,4.973840727082511,4.89,4.85
"[1, 4]",4.88829,4.962797589999999,3.8899999999999997,4.955771675207201
"[2, 5]",4.89,5.364879374828201,4.89,4.85
"[3, 5]",4.89,7.014257202451001,3.8899999999999997,4.85
"[2, 4]",4.8891,3.99,4.89,4.972020898
"[2, 3]",5.0,4.99,5.0,4.99
"[3, 3]",4.89,5.066761821257571,4.8891,3.0810000000000004
"[3, 4]",5.0,5.0,5.0,5.0
"[1, 3]",5.0,5.0,5.0,5.0
"[4, 2]",4.89,4.9729,2.891,5.372665566812814
"[5, 2]",4.7901,5.0,4.8926990158513055,5.654526883936189
"[4, 3]",4.8891,6.935315416825041,4.89,4.9719999999999995
"[4, 4]",3.8899999999999997,4.99,4.862425225665095,5.3984860690000005
"[5, 4]",4.89,5.592406311055971,5.217053261889776,13.41406311055971
"[5, 5]",5.0,5.0,5.0,5.0
"[5, 3]",4.8891,5.0,4.890317349,10.153528079119923
"[4, 5]",4.79577,11.0645371589,4.82686374621,5.0583374621
"[5, 0]",4.8891,4.71329,4.85,4.959176505214269
"[5, 1]",3.8899999999999997,4.85,4.89,5.051983415803578
